name,catch_copy,lead,description,works_url,movie_url,system_diagram_url
Inner peace,疲れをほぐしてゆったりと癒やされるカフェ,日々働いている女性たちの、身体や心の疲れをほぐしたり癒やしを感じられる居場所となれるように、温泉とマッサージも体験できるカフェを目指しました。,"温泉とマッサージとカフェが合体した施設で、環境の変化や日常生活に疲労や消耗を感じている20〜30代の女性をメインターゲットとしています。
　この施設の強みは、癒やしの選択肢が一つの施設にまとまっていて便利なところや、「今日はカフェだけ行きたい」「今日は温泉とマッサージへ行きたい」などと、その時のお客様が必要としている癒やしを自分で選べるところです。
　私が頑張ったポイントは、ターゲットの職業や状況や、そのターゲットが必要としていることを深く考えたことと、癒やしに関係するものはたくさんある中でどこまでをこのカフェに含むのかどうかを時間をかけて検討して決めたことだと思っています。",,,
エンジャーニー,企業と就活生を身近に、理想の企業へシームレスなマッチング,2D仮想空間内で企業の説明会や、アルバイトを受けることができる。また、就活生が困るエントリーシートの作成をopenAiを使用し、補助する。,"2d仮想空間でいつでも、どこからでもアクセスすることができ、アルバイトやインターン、企業説明会を受けることができる。
企業説明会を同一のプラットフォームで行うことによって、就活生は新規登録などのめんどくさい作業が不要になり、気軽に受けることができます。
インターンやアルバイトを早期に行うことで、就活生と企業と身近になり、双方のミスマッチを防ぐことができます。
また、就活生が困るエントリーシートの作成をopenAiを使用し、雛形や言い回しなどを補佐します。
private cloudでステートフルなリアルタイムサーバをHCIとk8sによる高可用性があるシステムを構築し、GOやReactなどモダンな言語やフレームワークを使用しwebアプリケーションを制作しました。",,,
grafae,デザイナーになれるカフェ,"「デザイナーになりたいけど私にはセンスがない」
そう言い今までデザインをしたことがない人へ
センスは経験で磨けます。私と一緒に夢を叶えませんか？","デザイナーになれるカフェをコンセプト、キャッチコピーとし作品の制作にあたりました。
grafaeは、「デザイナー」を目指している人、目指していた人におすすめのカフェです。
なにか強みがあるかと聞かれると私は「カフェに行ったら知識がつく」と言ったところがかなり強みになると思います。
力を入れた部分を言うとコンセプトがコンセプトなだけに私が持っているデザインの知識を最大限に活かし、大勢の方から「好き」と言われるデザインを作るために試行錯誤しました。
まだまだ未熟な知識ではありますが、同級生や大人の方からも言われる作品に纏まったので
駆け出しデザイナーを見守るといったことを考えブースに来ていただければ嬉しいです。",,,
「no-name」,現実から離れてリラックスできる会員制のカフェ,「no-name」は会員の方しか来れないカフェとなっており、自然に囲まれたカフェでスマホを手放し自分の時間を過ごすことができます,"現実から離れてリラックスできる隠れ家をコンセプトに作りました。ネット社会から離れて自然に囲まれながら息抜きできる場所があればいいなと思いこのコンセプトにしました。そのため入口で電子機器を預かり、店内ではコーヒーを飲みながらぼーっとしたり、本を読んだりなど店内ではネットから離れてゆっくりと自分の時間を過ごせるカフェにしました。隠れ家なので、たくさんの人よりも知っている人だけに来てもらえるように会員制にしました。
会員制という特別感を持たせれるようにWebサイトは会員の方と一般の方では見れる情報を分けるなど特に力を入れて作りました。フライヤーやWebサイトなどのフォントや背景色を同じものを使って全体的に統一感を持たせれるように意識して作りました。",,,
JOHN SMITH CAFE(ジョンスミスカフェ),言語で交流して領域を展開しよう,英語・日本語使い、世界を知り、新たな縁を作ろう。,このカフェでは外国人と日本人が交流でき、新たな縁を作れるという特徴があります。具体的なターゲットは日本語・英語を学びたい人、また、日本人・外国人の友達を作りたい人。その考えを踏まえ分かりやすくて落ち着くサイトを意識して作りました。このカフェのターゲット層は年齢制限がないので、誰でも気軽に来店できるようなデザインをイメージして作りました。また、外国人も理解しやすいデザインにしました。,,,
known-brand,ローカルブランドを世界へ,"日本に存在する洋服ブランドはローカルに埋もれてしまう傾向にある
そんなブランドを世界に発信することで、日本のブランドは世界に通用することを証明する"," ローカルでマイナーなブランドがコンセプトやLOOK画像（シーズンのコレクション（服）をモデルに着せて撮影し画像にしたもの）を投稿できるWEBサイト。目的として、ローカルでしか知られていないブランドを知るプラットフォームを作る。目標は、日本のマイナーブランドをアジアを中心に指名買いされ続ける未来を作る。ターゲットは、ファッションに興味のある人、服飾学生、アパレル店員、デザイナー、バイヤー。
アパレル店員やバイヤーにも見てもらえれば、ショップに置く機会を作れると考えている。コンセプトは、ブランドファースト。こだわった服を作ってブランドを立ち上げているので、シンプルなデザインにすることによって、ブランドのコンセプトを壊さないようにする。",,,
herstel(ハーステル),紅茶で子育ての疲れを軽減！紅茶定期便ハーステル,"日々の子育てで体力的なあるいは精神的な疲れを感じていませんか？herstelはそんな主婦の方に向けた紅茶定期便サービスです。
",herstelの特徴は主に３つあります。1つ目は定期便（サブスクリプション）制度で月額1700円という点です。送料無料で追加料金はありません。２つ目は全て国産という点です。全て国産の材料で紅茶を作っているため、品質高く美味しい紅茶をご提供できます。３つ目は悩みに合わせたセットという点です。子育ての悩みはありませんか？例えば、子どもに目が離せなくて睡眠不足、授乳中はカフェインを摂りすぎてはダメ、子どもが言うこと聞いてくれないことに対してイライラしやすくなってしまうなど。herstelはそんな子育てのお悩みに対して効果的な紅茶をあなたのもとへお届けします。初めて利用する方にどんな紅茶なのかを体験して欲しいため、最初の1ヶ月は500円で全種類入ったトライアルキットをお届けします。実店舗はなく、店の説明・商品の説明・会員登録・注文などは全てWebサイトで行うため、見やすく使いやすいサイトにしました。また、herstelを利用してリラックスして欲しいため、Webサイトやグラフィック物は色は緑やベージュ多めに、写真の角を丸く、字体はゴシック体にして、温かみを感じ落ち着くように仕上げました。,,,
E-report,Webアプリで報告書を作ろう！時短・簡単・便利！,内定報告書・就職活動報告書を報告するのが面倒だと思ったことありませんか？そもそも報告しに行ったことありますでしょうか？その課題私たちが解決します！,"E-reportは就職活動報告書と内定報告書をweb上で提出できるようにしたwebアプリケーションです。ターゲットは生徒とキャリアセンターの職員であり双方にメリットのあるサイトとなっています。
まず生徒側が報告書をweb上で作成できる上、過去の就活生の情報を閲覧することが出来ます。
キャリアセンター側は生徒側の就活状況を容易に把握することができ
ユーザーの作成や報告書の編集・削除を行う権限を持っています。
力を入れた部分はVue.jsというチーム全員が使ったことのない技術を
使い制作を行いました。",,,
UMAMI,馬とともに過ごす至福の時間、UMAMIカフェ,UMAMIカフェへようこそ。競馬の世界と一体となって、走り抜ける興奮を心ゆくまで堪能。蹄のリズムと旨みたっぷりで競馬愛を満たす特別な場所。,"初心者の方にも優しい競馬カフェで、競馬を楽しみながら学ぶことができる特別な場所です。 私たちのカフェは、競馬初心者や興味を持っている方に対して、親切で丁寧な情報とサポートを提供しています。

カフェ内では、さまざまな競馬関連のイベントやワークショップも開催しています。例えば、馬の解説や予想のコツを学ぶワークショップや、競馬の歴史や名についてのトークイベントなどもあります。は、競馬に興味を持つ人々が交流し、知識発掘の機会となっています。

初心者の方にとって、競馬は未知の世界かもしれません。 しかし、初めての方でも楽しみながら学べる場所です。 競馬の魅力を感じながら、馬とともに過ごす至福の時間を提供しますしています。",,,
Mix cafe,世界に一つだけの自分の珈琲,Mixcafeの魅力はお客様に一人でも多くに色々な味を楽しんでもらい、トッピングなど自由にアレンジ出来て個性やユーモアが溢れる珈琲を楽しんで頂きたいです!,この作品を作った時に、もし世界に一つでけの自分のオリジナルなブランド珈琲があったら他の店舗とは違う全く新しい珈琲店が出来ると思いました。お客様や店員さんの立場になって自分ならどんな風に店に行きたくなるか、どんな形で飲みたくなる珈琲を作るかで悩まれました。この店は自分だけのオリジナル珈琲店なんで、わざわざ値段をつけてカスタマイズ代を取るより値段をフリーすることによって今まで値段があって抵抗していたお客様が値段をフリーにすることによって誰でも気軽に試したくなるような気持ちが生まれ、まだ出会ったことない味を楽しめて様々な通りが生まれていくのがこの店の強みとウリだと思います！この店によってまだ出会ったことのない味に出会って欲しいと思います！,,,
こころい木,おじいちゃん・おばあちゃんと育てる小さな芽,小さな芽とは、アプリ内の機能である【木の育成】と、祖父母との関わり方や思いやりの気持ちを育むことで【子どもの心の成長】を表しています。,"「こころい木」は、祖父母との楽しい交流を通じて子供の成長を促すアプリです。その中でもメイン機能は【祖父母と行うクエスト】です。子供と祖父母が一緒に様々なクエストに挑戦し、家族の絆を深める楽しい要素が満載です。クエストをクリアするたびに、子供は素敵なご褒美を手に入れることができます。

さらに、【タイムライン機能】では子供の成長を共有し、投稿された写真をアナログのアルバムにして見返すことができます。また、祖父母が数日間ログインしていなかった場合、親御さんに通知が届くので、祖父母の安否を把握することができます。

家族の絆を大切にしながら、楽しみながら祖父母との交流を深め、子供の成長と思い出作りをサポートする「こころい木」をぜひご覧ください。当ブースで詳細をご案内いたします。",,,
FOOP(フープ),瞬間を刻んで、IRの魅力を共有しよう！思い出を語る、新たなIR-SNS！,IR専用SNSで感動の輪広がる。ショッピングモールのトレンド、一流ホテルの贅沢なサービス、カジノの勝利の瞬間。鮮やかな思い出が魅力を描き出し、未知の魅力への好奇心を刺激。IRの魅力を探求し、ワクワクする思いを広げよう。,"IR専用SNSで実際に行ってみた人の楽しい思い出や体験をみんなに伝えることが出来るサービスを考えました。

IRとはショッピング、宿泊施設、カジノなどをかね揃えた統合型のリゾートです。
ターゲットはIRに来場した人、興味がある人です。
現状、名前だけ知っていて中身を知らない人のIRのイメージが悪く、行きたくないと考える人が多いです。そんな現状を打破するべく考えたのがIR専用SNSです。

このサービスのウリは、みんなの体験や思いを繋げることが出来ることです。
繋がる機能で、ただ投稿するだけではなくお宝をGETするためにみんなが協力してゲームをクリアします。お宝はIRで使える物で、1回だけではなく2回3回とIRに出向いてもらうために、毎回少しでも楽しんで貰うためにこの機能を考えました。

興味を持たれた方はぜひ見に来て下さい！",,,
DPB,あなたのドッグライフを更に楽しませる投稿サイト。,ゲーム感覚で芸を覚えさせる事もできます。犬のアバターを作り実際に芸をする所を撮って送信すればアバターをレベルアップさせる事ができます。,写真投稿と育成ゲームを組み合わせたサイトで、Miiの様に簡単にパーツを選んでいって自分の犬のアバターを作れます。実際にフリスビーキャッチや輪潜りができている所を撮影して、動画を送信すれば、レベルアップに必要なポイントを溜まります。最大まで溜めるとレベルアップしてアバターを大きくしたり称号をもらう事ができます。決められたレベルまで上げると、ドッグフードや投稿写真がプリントされたTシャツ等がもらえます。投稿のいいねを稼ぐとアバターに使えるリボン、サングラス等の着せ替えアイテムがもらえます。アイテムはフォローしているユーザー同士で交換する事も可能です。また、犬が飼えない人もサブターゲットとしており、画面内で飼えるのは勿論、飼ってなくても参加できるイベントの案内通知を受け取る事ができます。,,,
湯にてぃ〜,スーパー銭湯好きの為のスーパー銭湯アプリ,各スーパー銭湯がアプリ展開しているがバラバラで不便  そういった問題を解決する為と他にも不便な点を改善したアプリ,昨今サウナブームなどにより流行になりつつあるスーパー銭湯 アプリ展開はしているが、各スーパー銭湯で一つ一つアプリがあってユーザーは不便  そういった問題を改善する為に各スーパー銭湯のアプリを1つにし混雑状況やポイントカード クーポン機能なども共通にしたアプリ   テーマである繰り返し使える点においてもスタンプラリー  ランキング制度を導入し銭湯好きならぜひインストールしたいアプリ,,,
Chamedpalecs　webサイト,今宵、あなたを魔法の館のお茶会にご招待します,今宵、貴方は魔女に選ばれし特別なお客様、そんな貴方に最高のおもてなしを。「Chamedpalecs」で、魔法の世界を存分にお楽しみください。,"ゴスロリコンセプトのカフェ「Chamedpalecs」へようこそ。ここでは、お客様に非現実的な空間を提供します。
このお店は、非現実的な世界観に入り込んでもらうという楽しみ方です。お客様に有料で衣装の貸し出しも行なっており、ゴスロリを始めたばかりの人でもお楽しみいただけます。
カフェの利用だけでなく小物雑貨なども売っていて買い物の利用だけも可能です。
メニューの一番のこだわりはアフタヌーンティーです。
完全予約制ですが、世界観に入りやすく心を奪われるような体験になるでしょう。",,,
Penny Porter　(ペニーポーター),100均の即日配達サービスで、時間を節約しませんか？,どうしても「忙しい」「しんどい」などの理由で、外に出れない日に100均即日サービスを利用し、欲しい100均商品を即日お届けします。,"このアプリは今すぐ100均の商品が欲しい！(洗剤など) だけど「しんどい」「忙しい」などの理由で買いに行けない時にこのサービスを利用してもらいます。このサービスの特徴は100均商品を即日配達し、100均の各店舗の商品を比べて購入する事ができ、足を運ばなくても購入できます。
繰り返しサービスを利用してもらうには、ライフハック技術を毎週配信します。
【運営】のライフハック術と【ユーザー】が自由に配信できるライフハック術の両方を掲載することで作成意欲を促し、購入に繋げます。

力を入れた点は、100均なのでどの世代でもフィットするように、シンプルで見やすいレイアウトを意識しました。",,,
まにまる,お金を食べて進化する！動物育成の貯金アプリ,"動物育成と貯金をかけあわせたアプリです。
お金(課金)でえさを買って、アプリ内の動物に食べさせてあげることで貯金ができて、大きくなっていきます。","貯金アプリに動物育成の要素を混ぜた育成貯金アプリです。
お金(課金)でえさを購入して、育成中の動物に食べさせることで成長していき、貯金ができるという内容です。アプリ内の動物たちはただ大きくなるだけではなく、食べたえさによって見た目が変化するという性質を持っています。最初に目標として貯める金額を設定するのですが、目標金額を達成するとクーポンがもらえたりアプリ内で使用できるアイテムがもらえます。さらに目標金額を達成した動物は自分だけの動物園をつくることができるので、コレクションすることができます。主に男子学生に向けたアプリで、若い世代の貯金を楽しく手助けします。",,,
SeeK,スポーツをしたい人がフォーム入力で簡単マッチング！,"操作簡単でスポーツをしたい人同士を繋げるこれまでにないマッチングアプリ！
ランク制度があり、スポーツするたびにランクが上がる！
","コロナも終息していき、みんなスポーツをするようになりましたが、スポーツをしたくても一緒にスポーツをする人がいない人のためにスポーツをしたい人同士をマッチングさせるアプリです。
ターゲットはスポーツをしたい20代大学生。
ランク制度が４段階ありスポーツをするたびにptがもらえ、ランクが上がっていく仕組みです。
アプリ内で施設予約が可能でランクによって施設代が安くなる仕様です！
配色は深い青と無彩色を使っていて、友好的な意味と統一感を出していて、フォントはシンプルなフォントで目立たせずにロゴだけが目立つようにしています！
写真を使わずアイコンだけで作っており見やすさアップ！",,,
illuStory（イラストーリー）,イラストの制作過程と物語性を様々な角度から楽しむ。,イラストができるまでの過程に物語性をもたせることで、メイキングを動画として公開することができます。それによりで画力以外にも表現方法が生まれます。,"静止画のイメージや、近年はSNSで一瞬しか見ない機会の多いイラストですが、物語性のあるイラストを描き、様々な角度から楽しんで頂き、イラストから新たな発見をするサービスです。
ターゲットは、イラストに新鮮さを感じたい方や、イラストや想像を画力以外でも表現したい方です。
機能は、描いた内容をクラウド上に記録し保存することができます。
関連動画をいいね数に関係なく、タグに関連した動画を表示することや、いいねの非表示表示を、純粋に作品を楽しむことができます。そうすることで投稿を始めた方でも、評価される機会があります。

このサービスを利用することによりクリエイティブなコンテンツが循環します。",,,
fashionable,今日のナンバーワンコーデを提案するサイト,自分の服を設定し、毎日のファッションが困らなくなるWebサイト,"自分が今持っている服の特徴を選択してそれに合う服を提案しするサイトです。
ターゲットはファッションに興味はあるが、色の組み合わせなどのファッションが苦手な若い層にしました。
他のファッションサイトにはない点の「提案する」という強みを活かして普段ファッションサイトを利用している層はもちろん、あまり利用していない層までが利用できるサイトになっています。",,,
daily me,オシャレする「毎日の自分」を共有しよう,"おしゃれに興味のあるあなたを見つけてもらえる場所、それがdailyme。
自分のコーデを投稿しファッションリーダーを目指せ。","ファッションに興味のある人が毎日の自分のコーデを投稿するスマホアプリ。
１日１回投稿しないと他の人の投稿が見ることができないが、投稿するとたくさんの系統のコーデやお気に入りの投稿にスタンプを押したり気になるユーザーをフォローすることもできる。
自分の投稿がたまっていくと、コーデのカラーを集計して自分のよく使う「MY COLOR」がどんどん更新されて自分のおしゃれ磨きにも繋がる。
連続投稿や継続投稿でポイントがたまって、連携する通販サイトで使えるお得なクーポンをもらえたり、投稿に集まったスタンプ数でランキング上位に入ると、ファッション雑誌の特集にお呼ばれされちゃうかも！",,,
DESC,コンペを体感して、デザイン力を向上させるサブスクアプリ,コンペで自分も参加できる＋プロのデザイナーのコンペ作品を閲覧でき、その作品は自分の教科書になり、流行りのデザインを勉強できます！,"コンペティションと各ミッションを通してデザインの勉強ができるPCアプリです。
メインターゲットは、デザイン関係の学生で、サブターゲットはプロのデザイナーです。
アプリのウリは、毎日更新されるコンペティションとデイリーミッションです。コンペティションが更新されることにより、プロのデザインを多く見ることができます。デイリーミッションは、完了するとカレンダー部分に色が付き、継続力を『見える化』してくれモチベーションアップに繋がります。
力を入れた部分は、アプリの画面デザインで2023年の流行りの『70s Retro Flat Design』と『The 3D Memphis Style』を掛け合わせ流行りのデザインにしました。",,,
すくすくREC,アルバムで思い出や健康を管理できる成長日記,アルバムを自由にカスタマイズ出来て、年齢だけでなく寝顔、散歩、運動会などカテゴリー別で分ける事ができ思い出をいつでも見返す事ができます。,子どもの成長や健康を思い出として記録に残せるアプリです。ターゲットは20代30代のご家族で、特にアルバムの機能が強みや力を入れた部分でお子さんとお出かけして写真を撮るだけじゃその時の出来事は記憶に残ると思うんですけど、日にちが経つにつれて思い出すのが難しいため記憶だけじゃなくアルバムを自由に作成することでより具体的に記録できて忘れた時でもアルバムを見ればいつでもお子さんとの思い出を見返す事ができます。健康管理はカレンダー機能で一括で出来るようになっていてお子さんの身長や体重やその日の簡単な出来事など、カレンダー機能にも親御さんが見て思い出せるように可視化できて見やすくわかりやすくなっています。,,,
Tanuki Cafe Online,繁忙な日常からひとときの癒しへ。至福のカフェタイムをお届けします！！,忙しい毎日を忘れ、優雅なカフェの世界へ。美味と温もりに包まれる贅沢なひとときをお楽しみください。メニューやイベントの詳細をお伝えいたします。,"私のカフェは、この忙しい世の中で可愛いとリラックスを求める人々に向けて特別な場所を提供しています。このお店では、至福のカフェ体験を追求し、美味しい飲み物や心地よい雰囲気の提供を目標としています。
グラフィックデザインは私の得意分野ではないので、グラフィック物を作るために多くの労力を費やしました。
ウェブサイトを作るにあたって、私は実際のカフェで使用されているウェブサイトを参考にしました。そして直感的なウェブサイトを作るために最善の努力を尽くしました。特に、ナビゲーションバーやフレックスボックスのデザインに多くの時間がかかりました。
私はエンジニアを目指しています。
このプロジェクトで、プログラミングのスキル向上だけではなく、グラフィックデザインのスキルも向上させることができ、私は沢山のことを学びました。",,,
Relax coffee,初めてでも安心。コーヒーの楽しみ方を学びましょう！,初心者でも安心。コーヒーの魅力や楽しみ方を丁寧にお伝えします。豆選びから淹れ方まで、一緒に１から学びましょう！,コーヒーを初めてみたい人やコーヒーの淹れ方に興味のある人をターゲットにした、実践的なコーヒー教室と販売を提供しています。お店に足を運んでいただき、一緒に淹れ方を楽しみながら学んでいただけます。さらに、コーヒー豆や機材の販売も行っており、お店の中で必要なものを揃えることができます。お客様は好みの豆や機材を選ぶことができるため、利便性と選択の自由があります。私たちのお店は、自宅でも本格的なコーヒー体験を楽しむことができるため、お客様にとって特別な場所となっています。,,,
Rider’s　attraction,バイク好きな人が集まり会話ができるカフェで楽しい時間を。,ツーリングの休憩スポットや目的地として来店して頂き、ライダー同士でお店の手作りのご飯などを飲食しながらバイクの話をして頂けます。,ツーリングの休憩地点や目的地として来店して頂け、ライダーをターゲットにしています。本店のウリはインターネットやバイク雑誌での宣伝など、ネットの得意・不得意に関係なく情報を集めて頂き、様々な年齢層の方が情報を得て来店して頂きやすいという点です。また男性ライダーが多い中、女性店長が営んでいる事や甘いメニューもご用意している事により女性ライダーもご来店して頂きやすいようにしました。工夫ポイントはライダー同士の会話についてです。一つ目はどの種類のバイクに乗っているかが分かるステッカーをご用意し、会話のきっかけになるものを作り会話を始めて頂きやすいようにしました。二つ目は専用のアプリで自分の興味のある会話項目などを選択して頂き、話したい方を見つけアプリで声をかけてからお互いが承認し、その場で合流して頂けるようにした事の二点です。,,,
猫の散歩道,猫と気ままに癒され生活 今日はどこへお散歩に行く？,"自分の好きな猫と遊んだりご飯をあげて仲良くなると、日本中の観光地を一緒に散歩して巡ることができ、旅行気分を味わえる
","猫と遊んで仲良くなり一緒に日本中を散歩することで、いろんな街の素敵な場所に出会えるサービス。
自由気ままに散歩をする猫達は、有名な観光スポットからあまり知られていない隠れスポットにも散歩しに行くことがあります。猫と一緒に新しい場所を見つけてお気に入りの場所ができるかも。忙しいスケジュールの中で旅行に行くことが難しい人にとっては旅行気分を味わうことができ、旅行によく行く人にとっては新しい旅先を見つけるのにも最適です。
ぜひあなただけのお気に入りスポットを猫と一緒に見つけてみては。",,,
ふらわーほーめ,「より良い休日を！」,"より良い休日を！お花に囲まれて贅沢な休日にしませんか？
お花の紅茶を楽しむために！ゆっくり読書を楽しむために！
さまざまな利用方法があります！
","お花をコンセプトにカフェを作りました。
このカフェはお花が好きな人にむけての部屋があり、沢山のお花に囲まれて過ごせる居心地のいい空間になっています。
お花を眺めながら食事や読書をすることで、心を癒しリラックスすることができます。
デザインで力を入れたところは、サイトのトップページのメインビジュアルです。
お花が飾られている家をイメージして作りました。
サイトを開いた時に見える家の中は、心の癒しを与える花々で囲まれた暖かい家の雰囲気を表しています。",,,
